"seed","n","p","q","arm","ok","healthy","beta_rmse","sigma_rel_frob","frob_Shat","sigma_collapse","sigma_runaway","phi_mean","max_g_fe","max_abs_loading","secs","pass_abs","err"
11410,400,8,2,"gllvm_la",TRUE,TRUE,0.0776876266894881,0.685243361412587,0.567294542715894,FALSE,FALSE,4.87484439602302,NA,0.461488954089234,7.229,FALSE,NA
11410,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.00100000000000477,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11411,400,8,2,"gtmb_va",TRUE,FALSE,0.0567155651386558,0.233834103010789,1.19100584870207,FALSE,FALSE,5.12029137754763,8.07041713815071e-05,NA,9.623,TRUE,"status=failed_health_gate"
11411,400,8,2,"gtmb_la",TRUE,TRUE,0.0575989267935681,0.307197715321001,1.05772264374688,FALSE,FALSE,4.9404450524411,0.000344259300513183,0.612353714455228,0.968999999999994,TRUE,NA
11411,400,8,2,"gllvm_la",TRUE,TRUE,0.0937656025371628,0.690476969158098,0.412590963860636,FALSE,FALSE,4.96241743605489,NA,0.382147500691642,6.24300000000001,FALSE,NA
11411,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11412,400,8,2,"gtmb_va",TRUE,FALSE,0.0630122136724408,0.304579064728568,1.61563714278813,FALSE,FALSE,5.08450916840273,5.68131078056144e-05,NA,9.97000000000001,TRUE,"status=failed_health_gate"
11412,400,8,2,"gtmb_la",TRUE,TRUE,0.063015944633744,0.29140352130296,1.5506497956151,FALSE,FALSE,5.04473048208573,0.000611335727658258,0.620953801703691,1.38099999999999,TRUE,NA
11412,400,8,2,"gllvm_la",TRUE,TRUE,0.0857702226577093,0.816238380826425,0.697932807380555,FALSE,FALSE,2147583.03290523,NA,0.741466208926718,14.785,FALSE,NA
11412,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11401,1000,8,2,"gtmb_va",TRUE,FALSE,0.0298943923165325,0.273093901968904,0.906239097969487,FALSE,FALSE,5.17788297130549,0.000104100396001172,NA,53.549,TRUE,"status=failed_health_gate"
11401,1000,8,2,"gtmb_la",TRUE,TRUE,0.0303960306606409,0.29020098409678,0.75870193270443,FALSE,FALSE,5.05012847286538,0.000318329104349369,0.532363439643808,2.19799999999999,TRUE,NA
11401,1000,8,2,"gllvm_la",TRUE,TRUE,0.074449120043629,0.684859503445897,0.303606569625735,FALSE,FALSE,5.07831677628373,NA,0.342405128280991,30.792,FALSE,NA
11401,1000,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.00100000000000477,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11402,1000,8,2,"gtmb_va",TRUE,FALSE,0.0428883932213781,0.123440179581091,1.99856427470697,FALSE,FALSE,5.04999171669299,0.00012624011080753,NA,50.747,TRUE,"status=failed_health_gate"
11402,1000,8,2,"gtmb_la",TRUE,FALSE,0.0428037541303831,0.121264244403041,1.9316412611659,FALSE,FALSE,5.01991291982174,0.00105958300641351,0.633482293087551,2.018,TRUE,NA
